A,B,C
103.04717079754431,128.41647600870462,70.70834411091552
89.60015893759504,102.93584983615385,94.97206946025605
107.50451195806457,101.87757270928462,103.9295551718901
109.40564716391214,98.86227271752122,111.55200196446701
80.48964811346164,113.15979422575495,113.80207843627139
86.97820493137682,118.28972292720891,115.28025023359865
101.27840403167285,105.86052542345125,94.72294869952812
96.83757407656418,98.59843523037472,92.67766773203779
99.83198842495712,98.75518784308761,116.44356586262877
91.4695607242642,113.50592787824701,97.55652215213094
108.79397974862829,114.43254171203442,78.0376461799174
107.77791935428948,112.43154268305194,80.60083014793734
100.66030697561216,100.34490292711305,84.449858851971
111.27241206968033,109.3216132306672,109.94889339296775
104.67509342252046,108.16685809140728,103.56366324927018
91.40707537116762,109.18688596729012,113.42873637321983
103.68750784082499,115.7142877794819,93.30945236594238
90.41117399171002,109.23595548774682,103.85371443938085
108.78450301307272,113.78913563071895,112.26062709141206
99.50074089013746,107.67579069488892,95.4317622850357
98.15137636454739,109.89119398689984,109.2219542760334
93.1907045559606,113.3128822583854,89.08533306080028
112.2254133867403,92.42844180144334,94.46503076182871
98.45470517931197,103.80328783642699,94.12871790803008
95.71672177836892,102.29627345707205,79.47488637939729
96.4786644951177,100.61122151756658,109.76550465414047
105.32309185553349,104.24857748773316,92.55075787635097
103.65444064364078,121.94941311234396,101.22489413709837
104.12732611595989,98.34168884306757,109.65343986030636
104.30821003007883,116.6827835459148,109.037561168539
